time,open,high,low,close
5/1/2018,3.0693,3.1133,3.0098,3.0638
6/1/2018,3.0638,3.3153,2.9513,2.967
7/1/2018,2.967,2.9728,2.6733,2.8168
8/1/2018,2.8168,2.8183,2.5523,2.665
9/2/2018,2.6668,2.8708,2.5798,2.8055
10/1/2018,2.8055,2.8663,2.6463,2.6563
11/1/2018,2.6563,2.8458,2.6423,2.79
12/2/2018,2.85,2.8578,2.6248,2.6398
1/1/2019,2.642,2.7963,2.543,2.7813
2/1/2019,2.7813,2.9768,2.7508,2.9478
3/1/2019,2.9478,2.988,2.8343,2.9723
4/1/2019,2.9723,2.9953,2.8633,2.9088
5/1/2019,2.9088,2.9133,2.6293,2.6308
6/2/2019,2.6305,2.757,2.5998,2.7433
7/1/2019,2.7433,2.8028,2.6118,2.6608
8/1/2019,2.6608,2.6678,2.4908,2.5563
9/1/2019,2.555,2.706,2.4818,2.5758
10/1/2019,2.5758,2.6968,2.5148,2.6378
11/1/2019,2.6375,2.7298,2.6133,2.6613
12/1/2019,2.662,2.8568,2.6208,2.7983
1/1/2020,2.8035,2.8858,2.5033,2.5123
2/2/2020,2.488,2.6328,2.4875,2.5443
3/1/2020,2.522,2.6248,1.9728,2.2108
4/1/2020,2.2108,2.3943,2.1493,2.3318
5/1/2020,2.3318,2.4675,2.2843,2.4363
6/1/2020,2.4363,2.7373,2.4253,2.7283
7/1/2020,2.7283,2.9928,2.7033,2.8613
8/2/2020,2.8665,3.0678,2.7695,3.0498
9/1/2020,3.0498,3.121,2.9138,3.0293
10/1/2020,3.0293,3.2178,2.8348,3.051
11/1/2020,3.0435,3.5048,3.028,3.455
12/1/2020,3.455,3.6453,3.4393,3.5248
1/1/2021,3.527,3.7343,3.4913,3.538
2/1/2021,3.538,4.3758,3.4998,4.151
3/1/2021,4.1513,4.2263,3.8498,3.9863
4/1/2021,3.9863,4.551,3.9435,4.4555
5/2/2021,4.4625,4.8878,4.4353,4.69
6/1/2021,4.6808,4.7068,4.3158,4.3308
7/1/2021,4.347,4.6275,4.1668,4.4785
8/1/2021,4.4928,4.5318,3.9618,4.3275
9/1/2021,4.3263,4.4713,4.016,4.068
10/1/2021,4.068,4.823,4.059,4.3965
11/1/2021,4.396,4.5013,4.1918,4.3495
12/1/2021,4.3513,4.4983,4.1198,4.4573
1/2/2022,4.4585,4.6008,4.2823,4.3265
2/1/2022,4.3278,4.7083,4.327,4.5015
3/1/2022,4.5015,5.039,4.4688,4.719
4/1/2022,4.719,4.8603,4.3718,4.387
5/1/2022,4.393,4.439,4.037,4.279
6/1/2022,4.279,4.5768,3.6368,3.6383
7/1/2022,3.6373,3.6385,3.1315,3.5665
8/1/2022,3.5685,3.7833,3.4173,3.4805
9/1/2022,3.48,3.6918,3.243,3.3903
10/2/2022,3.3965,3.5928,3.3035,3.4218
11/1/2022,3.4238,3.96,3.3798,3.7803
12/1/2022,3.7803,3.9413,3.7233,3.8198
1/1/2023,3.8365,4.3548,3.7083,4.2093
2/1/2023,4.2075,4.2368,3.9373,4.1135
3/1/2023,4.1143,4.1743,3.8223,4.0825
4/2/2023,4.0888,4.1943,3.8168,3.8913
5/1/2023,3.8913,4.0048,3.545,3.6868
6/1/2023,3.6863,3.9675,3.6763,3.7645
7/2/2023,3.7645,4.0238,3.7228,4.0015
8/1/2023,4.0028,4.0123,3.6273,3.8525
9/1/2023,3.852,3.9085,3.6245,3.7335
10/1/2023,3.7543,3.7613,3.5195,3.6433
11/1/2023,3.6428,3.868,3.5805,3.8508
12/1/2023,3.8508,3.9738,3.7288,3.8915
1/1/2024,3.8958,3.9468,3.7145,3.8773
2/1/2024,3.8768,3.9088,3.6558,3.8473
3/1/2024,3.8473,4.1643,3.8183,4.0528
4/1/2024,4.0523,4.694,4.0253,4.5268
5/1/2024,4.527,5.1985,4.4663,4.6293
6/2/2024,4.625,4.6958,4.3293,4.3645
7/1/2024,4.365,4.6998,4.031,4.1838
8/1/2024,4.1835,4.278,3.9215,4.2195
9/1/2024,4.2158,4.7883,4.0053,4.5523
10/1/2024,4.551,4.6668,4.293,4.385
11/1/2024,4.385,4.4933,4.0018,4.1428
12/1/2024,4.1445,4.3348,4.0078,4.0235
1/1/2025,4.031,4.4698,4.0053,4.2733
2/2/2025,4.2583,4.8368,4.1838,4.563
3/2/2025,4.5745,5.373,4.5193,5.0838
4/1/2025,5.0835,5.1435,4.0305,4.6105
5/1/2025,4.609,4.889,4.4778,4.7023
6/1/2025,4.72,5.1455,4.7093,5.0903
7/1/2025,5.0918,5.9583,4.3338,4.4133
8/1/2025,4.4135,4.5965,4.3638,4.592
9/1/2025,4.5918,4.9385,4.529,4.8463
10/1/2025,4.846,5.2788,4.8175,5.114
11/2/2025,5.112,5.354,4.8908,5.326
12/1/2025,5.3253,5.9235,5.2243,5.6948
1/1/2026,5.697,6.5828,5.6678,5.966
