time,open,high,low,close
-5301597838,1.29,1.29,1.29,1.29
-5269889038,1.29,1.29,1.29,1.29
-5238439438,1.29,1.29,1.29,1.29
-5206903438,1.29,1.29,1.29,1.29
-5112295438,1.29,1.29,1.29,1.29
-5080586638,1.29,1.29,1.29,1.29
-5049137038,1.29,1.29,1.29,1.29
-5017601038,1.29,1.29,1.29,1.29
-4954442638,1.29,1.29,1.29,1.29
-4922733838,1.45,1.45,1.45,1.45
-4891284238,1.48,1.48,1.48,1.48
-4859834638,1.32,1.32,1.32,1.32
-4765140238,1.29,1.29,1.29,1.29
-4733431438,1.29,1.29,1.29,1.29
-4701981838,1.29,1.29,1.29,1.29
-4670445838,1.29,1.29,1.29,1.29
-4575578638,1.29,1.29,1.29,1.29
-4544129038,1.29,1.29,1.29,1.29
-4512679438,1.29,1.29,1.29,1.29
-4481143438,1.29,1.29,1.29,1.29
-4417985038,1.29,1.29,1.29,1.29
-4386276238,1.29,1.29,1.29,1.29
-4354826638,1.29,1.29,1.29,1.29
-4323290638,1.29,1.29,1.29,1.29
-4228682638,1.29,1.29,1.29,1.29
-4196973838,1.29,1.29,1.29,1.29
-4165524238,1.35,1.35,1.35,1.35
-4133988238,1.3,1.3,1.3,1.3
-4070829838,1.3,1.3,1.3,1.3
-4039121038,1.29,1.29,1.29,1.29
-4007671438,1.29,1.29,1.29,1.29
-3976221838,1.29,1.29,1.29,1.29
-3881527438,1.29,1.29,1.29,1.29
-3849818638,1.29,1.29,1.29,1.29
-3818369038,1.29,1.29,1.29,1.29
-3786833038,1.29,1.29,1.29,1.29
-3691965838,1.29,1.29,1.29,1.29
-3660516238,1.29,1.29,1.29,1.29
-3629066638,1.29,1.29,1.29,1.29
-3597530638,1.29,1.29,1.29,1.29
-3534372238,1.29,1.29,1.29,1.29
-3502663438,1.29,1.29,1.29,1.29
-3471213838,1.29,1.29,1.29,1.29
-3439677838,1.29,1.29,1.29,1.29
-3345069838,2.94,2.94,2.94,2.94
-3313361038,1.89,1.89,1.89,1.89
-3281911438,1.77,1.77,1.77,1.77
-3250375438,1.74,1.74,1.74,1.74
-3187217038,1.57,1.57,1.57,1.57
-3155508238,1.43,1.43,1.43,1.43
-3124058638,1.41,1.41,1.41,1.41
